Index,Average Values (10 Data Points),Timestamps (milliseconds)
1,85.548,1564824962387.00
2,85.461,1564824962429.00
3,85.531,1564824962440.00
4,85.498,1564824962452.00
5,85.386,1564824962470.00
6,85.229,1564824962511.00
7,85.205,1564824962521.00
8,85.167,1564824962533.00
9,85.014,1564824962543.00
10,84.989,1564824962560.00
11,84.979,1564824962613.00
12,84.984,1564824962639.00
13,84.867,1564824962672.00
14,84.821,1564824962697.00
15,84.729,1564824962710.00
16,84.594,1564824962723.00
17,84.465,1564824962735.00
18,84.468,1564824962749.00
19,84.323,1564824962759.00
20,84.167,1564824962771.00
21,33.632,1564824962811.00
